,type,id,lat,lon,tags_addr:city,tags_shop,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
0,node,663099302,40.7500459,-73.9888897,,shoes,Foot Locker Vans,POINT (-73.9888897 40.7500459),233,10120,1,New York,0.0,35179.27221883,NY,New York,36,061,http://www.usps.com/,0.0,0.0
0,node,663099302,40.7500459,-73.9888897,,shoes,Foot Locker Vans,POINT (-73.9888897 40.7500459),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
1,node,663387587,40.7525674,-73.9929361,,shoes,Hippo Shoes NYC,POINT (-73.99293609999999 40.7525674),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
27,node,2709306607,40.74908,-73.9864875,New York City,shoes,Timberland,POINT (-73.9864875 40.74908),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
28,node,2709430172,40.7514289,-73.9911902,New York,shoes,DSW Designer Shoe Warehouse,POINT (-73.99119020000001 40.7514289),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
29,node,2709430181,40.7517799,-73.9920745,,shoes,Footaction,POINT (-73.9920745 40.7517799),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
30,node,2711422082,40.7488354,-73.9890016,,shoes,Call it Spring,POINT (-73.98900159999999 40.7488354),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
31,node,2711422114,40.7492185,-73.9898621,,shoes,Square One,POINT (-73.9898621 40.7492185),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
48,node,3451116498,40.7504317,-73.9897503,,shoes,Kids Foot Locker,POINT (-73.9897503 40.7504317),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
49,node,3451116499,40.7503911,-73.9896689,,shoes,Sketchers,POINT (-73.9896689 40.7503911),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
57,node,3926303521,40.7491272,-73.986641,New York City,shoes,Journeys,POINT (-73.98664100000001 40.7491272),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
58,node,3926304998,40.7491884,-73.9867322,New York City,shoes,Aerosoles,POINT (-73.98673220000001 40.7491884),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
59,node,3927150550,40.7494179,-73.9863825,,shoes,Geox,POINT (-73.9863825 40.7494179),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
60,node,3927150553,40.7493895,-73.9862967,,shoes,Aldo,POINT (-73.9862967 40.7493895),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
111,node,5436317122,40.7491941,-73.985505,,shoes,Foot Locker,POINT (-73.985505 40.7491941),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
152,node,5697481122,40.7492429,-73.9878213,,shoes,City Streets Shoes,POINT (-73.98782129999999 40.7492429),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
2,node,886530248,40.7283854,-73.9939823,,shoes,Aldo,POINT (-73.9939823 40.7283854),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
5,node,1297470390,40.7348549,-73.9915078,,shoes,DSW,POINT (-73.99150779999999 40.7348549),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
18,node,2547200381,40.7353624,-73.9924866,,shoes,Footaction,POINT (-73.99248660000001 40.7353624),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
53,node,3676787987,40.7326739,-73.9861197,New York,shoes,Exodus,POINT (-73.9861197 40.7326739),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
56,node,3875000764,40.7371893,-73.9900699,,shoes,Geox,POINT (-73.99006989999999 40.7371893),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
76,node,4470527389,40.7326091,-73.9908729,,shoes,Flight Club NY,POINT (-73.9908729 40.7326091),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
83,node,4998806133,40.7357549,-73.9915086,,shoes,Sketchers,POINT (-73.9915086 40.7357549),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
109,node,5419352921,40.7288797,-73.9934374,,shoes,Foot Locker,POINT (-73.9934374 40.7288797),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
177,way,241822308,40.7275942,-73.9856159,New York,shoes,Foot Gear Plus,POINT (-73.9856159 40.7275942),90,10003,0,New York,55878.0,15538376.2696663,NY,New York,36,061,http://www.usps.com/,0.0,0.0
3,node,886674467,40.7282196,-73.9946324,,shoes,Infinity Shoes,POINT (-73.9946324 40.7282196),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
4,node,886674498,40.7281261,-73.9947022,,shoes,Miz Mooz,POINT (-73.99470220000001 40.7281261),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
6,node,1297657184,40.7225835,-73.9975119,,shoes,Premium Laces,POINT (-73.99751190000001 40.7225835),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
11,node,1861652105,40.7225395,-73.9958872,,shoes,Chrome,POINT (-73.9958872 40.7225395),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
75,node,4461963794,40.7229525,-73.9992665,,shoes,UGG,POINT (-73.9992665 40.7229525),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
82,node,4911460721,40.7223794,-73.9959653,,shoes,Spacecowboys,POINT (-73.99596529999999 40.7223794),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
86,node,5023333922,40.7253566,-74.0002776,,shoes,Cole Haan,POINT (-74.0002776 40.7253566),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
87,node,5061471722,40.7232052,-73.9988208,,shoes,Niketown,POINT (-73.9988208 40.7232052),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
95,node,5268858521,40.7236986,-73.9968561,,shoes,Allbirds,POINT (-73.9968561 40.7236986),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
101,node,5302774621,40.7260757,-73.9943092,,shoes,kith,POINT (-73.9943092 40.7260757),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
114,node,5523550668,40.723331,-73.998366,New York City,shoes,Steve Madden,POINT (-73.998366 40.723331),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
170,node,5923184265,40.7253045,-73.998881,,shoes,Meermin,POINT (-73.998881 40.7253045),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
175,node,6013233327,40.7238495,-73.9961266,,shoes,DNA Footware,POINT (-73.9961266 40.7238495),95,10012,0,New York,24276.0,9193738.99955164,NY,New York,36,061,http://www.usps.com/,0.0,0.0
7,node,1428036360,40.7537744,-73.9804857,,shoes,Bakers,POINT (-73.9804857 40.7537744),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
8,node,1428036643,40.7547985,-73.9776337,,shoes,Clarks,POINT (-73.9776337 40.7547985),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
9,node,1428427550,40.7541386,-73.9781214,,shoes,Nine West,POINT (-73.97812140000001 40.7541386),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
103,node,5324469322,40.7539366,-73.9789673,,shoes,Fila,POINT (-73.97896729999999 40.7539366),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
164,node,5859237169,40.7540956,-73.9780491,,shoes,Allen Edmonds,POINT (-73.97804910000001 40.7540956),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
165,node,5859262364,40.753941,-73.978666,,shoes,Alden Shoes,POINT (-73.978666 40.753941),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
173,node,5982276686,40.7575514,-73.9776796,,shoes,Aldo,POINT (-73.9776796 40.7575514),81,10017,0,New York,15918.0,9794383.23999352,NY,New York,36,061,http://www.usps.com/,0.0,0.0
10,node,1853451180,40.7394325,-74.0030301,New York,shoes,Shoegasm,POINT (-74.0030301 40.7394325),89,10014,0,New York,31328.0,14151052.0304172,NY,New York,36,061,http://www.usps.com/,0.0,0.0
12,node,2178743031,40.7564172,-73.9873255,,shoes,Skechers,POINT (-73.9873255 40.7564172),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
162,node,5859226170,40.7544852,-73.9814677,,shoes,Allen Edmonds,POINT (-73.9814677 40.7544852),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
183,way,266143307,40.7561723,-73.9879309,,shoes,Aldo,POINT (-73.98793089999999 40.7561723),256,10036,0,New York,23543.0,11395110.509595,NY,New York,36,061,http://www.usps.com/,0.0,0.0
13,node,2357937179,40.763629,-73.9711453,New York,shoes,Camper,POINT (-73.9711453 40.763629),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
52,node,3618689144,40.7616711,-73.9662275,,shoes,Clarks,POINT (-73.9662275 40.7616711),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
65,node,4316479494,40.7610894,-73.9730309,,shoes,Walking Company,POINT (-73.9730309 40.7610894),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
73,node,4458960902,40.7610181,-73.9706455,New York,shoes,CitiShoes,POINT (-73.9706455 40.7610181),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
159,node,5759323971,40.761412,-73.9740335,,shoes,Crockett & Jones,POINT (-73.9740335 40.761412),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
161,node,5859221938,40.7610198,-73.9730731,,shoes,Allen Edmonds,POINT (-73.97307309999999 40.7610198),193,10022,0,New York,33135.0,12728335.6230472,NY,New York,36,061,http://www.usps.com/,0.0,0.0
14,node,2439964745,40.7838555,-73.9742517,,shoes,Naturino,POINT (-73.9742517 40.7838555),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
15,node,2451205651,40.7872733,-73.9777974,New York,shoes,Aldo,POINT (-73.9777974 40.7872733),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
80,node,4587340691,40.7863932,-73.9784585,,shoes,Harry's Shoes,POINT (-73.9784585 40.7863932),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
184,way,269307472,40.7829902,-73.9751338,,shoes,Medici,POINT (-73.97513379999999 40.7829902),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
185,way,269313803,40.783925,-73.9794102,New York,shoes,Designer Shoe Warehouse,POINT (-73.9794102 40.783925),46,10024,0,New York,58521.0,22877335.4639181,NY,New York,36,061,http://www.usps.com/,0.0,0.0
16,node,2478897584,40.7394803,-73.9950625,,shoes,Payless,POINT (-73.9950625 40.7394803),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
22,node,2569050428,40.7370058,-73.9963766,,shoes,Foot Locker,POINT (-73.9963766 40.7370058),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
106,node,5377570221,40.7407758,-74.0044925,,shoes,Sorel Footwear,POINT (-74.0044925 40.7407758),83,10011,0,New York,50594.0,18118416.8463268,NY,New York,36,061,http://www.usps.com/,0.0,0.0
17,node,2494254714,40.6920418,-73.9884651,,shoes,Sarit Shoes,POINT (-73.9884651 40.6920418),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
24,node,2605312644,40.6918674,-73.9880043,,shoes,Zumiez,POINT (-73.9880043 40.6918674),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
77,node,4559312795,40.6913815,-73.986757,,shoes,Payless Shoe Source,POINT (-73.986757 40.6913815),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
78,node,4559312798,40.6905691,-73.985526,,shoes,Kids Foot Locker,POINT (-73.98552599999999 40.6905691),108,11201,0,Brooklyn,53041.0,41094886.7657365,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
19,node,2547218206,40.7303654,-73.9806635,New York,shoes,Pro Land,POINT (-73.98066350000001 40.7303654),94,10009,0,New York,61455.0,15903519.3012284,NY,New York,36,061,http://www.usps.com/,0.0,0.0
20,node,2550112954,40.7746227,-73.9810622,New York,shoes,UGG Australia,POINT (-73.9810622 40.7746227),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
45,node,3271250889,40.7779693,-73.9786046,New York,shoes,Crocs,POINT (-73.9786046 40.7779693),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
176,way,204876214,40.7786931,-73.9781161,,shoes,Footlights Shoes,POINT (-73.97811609999999 40.7786931),60,10023,0,New York,62800.0,15212712.6781593,NY,New York,36,061,http://www.usps.com/,0.0,0.0
21,node,2555120320,40.7198076,-74.0021901,,shoes,STADIUM GOODS,POINT (-74.00219010000001 40.7198076),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
66,node,4382630251,40.721446,-74.0020334,,shoes,Vans,POINT (-74.0020334 40.721446),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
79,node,4565955298,40.7206891,-74.0020439,New York,shoes,NikeLab 21M,POINT (-74.0020439 40.7206891),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
98,node,5302771421,40.724267,-74.0080555,,shoes,cncpts,POINT (-74.0080555 40.724267),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
154,node,5714220021,40.7187937,-74.0020394,,shoes,OriginsNYC,POINT (-74.0020394 40.7187937),96,10013,0,New York,27985.0,15580578.8335804,NY,New York,36,061,http://www.usps.com/,0.0,0.0
