,type,id,lat,lon,tags_addr:city,tags_amenity,tags_name,geometry,index_right,ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
1,way,24801630,40.829616,-73.9264973,,,Yankee Stadium,POINT (-73.92649729999999 40.829616),33,10452,0,Bronx,76104.0,27550385.8533127,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
3,way,34412409,40.6454476,-74.0764242,,,Richmond County Bank Ballpark at Saint George,POINT (-74.07642420000001 40.6454476),130,10301,0,Staten Island,40438.0,105182712.649568,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
61,way,286120222,40.6087622,-74.1068737,,,,POINT (-74.10687369999999 40.6087622),130,10301,0,Staten Island,40438.0,105182712.649568,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
4,way,35821293,40.6021987,-74.1522412,,,,POINT (-74.15224120000001 40.6021987),137,10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
5,way,53812056,40.6379655,-74.1188911,,,,POINT (-74.1188911 40.6379655),258,10310,0,Staten Island,25003.0,53463275.0024921,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
6,way,59384268,40.7932699,-73.9254517,,,Icahn Stadium,POINT (-73.9254517 40.7932699),253,10035,0,New York,34884.0,23494871.4647732,NY,New York,36,061,http://www.usps.com/,0.0,0.0
8,way,75118604,40.8881469,-73.8975955,,,Van Cortlandt Stadium,POINT (-73.89759549999999 40.8881469),10,10471,0,Bronx,23477.0,89651407.0583499,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
69,way,442605004,40.893992,-73.8961815,,,,POINT (-73.8961815 40.893992),10,10471,0,Bronx,23477.0,89651407.0583499,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
9,way,75867962,40.5239531,-74.1754957,,,,POINT (-74.1754957 40.5239531),155,10312,0,Staten Island,58506.0,169087432.907114,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
10,way,109864790,40.6723705,-73.8328674,Jamaica,,New York Racing Association Inc.,POINT (-73.8328674 40.6723705),120,11420,0,South Ozone Park,44538.0,61879568.3727771,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
12,way,137352993,40.8741019,-73.8305743,,,,POINT (-73.83057429999999 40.8741019),15,10475,0,Bronx,40931.0,38633296.9345436,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
13,way,138141251,40.750507,-73.9935185,New York,,Madison Square Garden,POINT (-73.99351849999999 40.750507),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
71,way,468605078,40.7505057,-73.9934597,,,Madison Square Garden,POINT (-73.9934597 40.7505057),82,10001,0,New York,22413.0,17794940.7727089,NY,New York,36,061,http://www.usps.com/,0.0,0.0
17,way,138264770,40.8997981,-73.8408575,,,,POINT (-73.8408575 40.8997981),12,10466,0,Bronx,68942.0,55262490.6124597,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
18,way,138265864,40.8850309,-73.8414344,,,,POINT (-73.8414344 40.8850309),12,10466,0,Bronx,68942.0,55262490.6124597,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
20,way,147969894,40.5709033,-74.1062706,,,,POINT (-74.1062706 40.5709033),150,10306,0,Staten Island,55602.0,174102872.04866,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
21,way,147976361,40.5666074,-74.1261169,,,,POINT (-74.1261169 40.5666074),150,10306,0,Staten Island,55602.0,174102872.04866,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0
30,way,249775491,40.6214939,-73.9597667,,,,POINT (-73.9597667 40.6214939),8,11230,0,Brooklyn,80857.0,49926703.3933172,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
31,way,250538373,40.7196506,-73.849868,,,Forest Hills Stadium,POINT (-73.849868 40.7196506),165,11375,0,Forest Hills,68555.0,55587771.8344865,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
68,way,415743687,40.7196787,-73.8499479,,,,POINT (-73.8499479 40.7196787),165,11375,0,Forest Hills,68555.0,55587771.8344865,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
33,way,255340200,40.7484317,-73.8463844,,,,POINT (-73.84638440000001 40.7484317),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
34,way,255340202,40.7481214,-73.8472878,,,,POINT (-73.8472878 40.7481214),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
35,way,255340205,40.748556,-73.8466325,,,,POINT (-73.8466325 40.748556),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
36,way,255340209,40.748392,-73.8478065,,,,POINT (-73.8478065 40.748392),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
37,way,255340212,40.7486367,-73.8470862,,,,POINT (-73.84708620000001 40.7486367),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
38,way,255340216,40.7487012,-73.8482014,,,,POINT (-73.84820139999999 40.7487012),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
46,way,277447823,40.7485275,-73.8460871,,,,POINT (-73.84608710000001 40.7485275),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
47,way,277447824,40.7487574,-73.8460324,,,,POINT (-73.8460324 40.7487574),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
48,way,277447826,40.7490677,-73.845828,,,,POINT (-73.845828 40.7490677),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
49,way,277447827,40.7493138,-73.8457059,,,,POINT (-73.8457059 40.7493138),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
52,way,284860787,40.7419159,-73.8479617,,toilets,,POINT (-73.8479617 40.7419159),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
75,way,618742637,40.7509671,-73.8455428,,,Louis Armstrong Stadium,POINT (-73.8455428 40.7509671),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
79,relation,3687244,40.7491552,-73.8445555,,,,POINT (-73.8445555 40.7491552),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
80,relation,7092903,40.7498813,-73.8470465,,,Arthur Ashe Stadium,POINT (-73.8470465 40.7498813),73,11368,0,Corona,109069.0,72489663.284463,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
41,way,266063817,40.5743399,-73.9840782,,,MCU Park,POINT (-73.9840782 40.5743399),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
66,way,405885395,40.574258,-73.9748438,,,Aquatheater,POINT (-73.9748438 40.574258),152,11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
53,way,284912574,40.899369,-73.8667449,,,,POINT (-73.8667449 40.899369),11,10470,0,Bronx,14740.0,21543461.581388,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
54,way,285037788,40.8491062,-73.8229661,,,,POINT (-73.8229661 40.8491062),26,10465,0,Bronx,42012.0,108423743.438241,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
55,way,285058167,40.8193243,-73.8688723,,,,POINT (-73.86887230000001 40.8193243),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
56,way,285063529,40.8225245,-73.8627552,,,,POINT (-73.8627552 40.8225245),40,10473,0,Bronx,58284.0,59522354.5402765,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
57,way,285071343,40.7806219,-73.9153469,,,,POINT (-73.9153469 40.7806219),58,11105,0,Astoria,36906.0,48795608.0799341,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
58,way,285118335,40.8285015,-73.8689868,,,,POINT (-73.8689868 40.8285015),35,10472,0,Bronx,66356.0,30963245.1883283,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
59,way,285135386,40.8401178,-73.8403838,,,,POINT (-73.8403838 40.8401178),29,10461,0,Bronx,50549.0,62824057.5745278,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
60,way,285142948,40.8408012,-73.844689,,,,POINT (-73.844689 40.8408012),29,10461,0,Bronx,50549.0,62824057.5745278,NY,Bronx,36,005,http://www.usps.com/,0.0,0.0
67,way,415430837,40.7199243,-73.8580109,,,,POINT (-73.8580109 40.7199243),167,11374,0,Rego Park,42755.0,25203558.5810222,NY,Queens,36,081,http://www.usps.com/,0.0,0.0
73,way,594338725,40.715321,-73.9576947,,,,POINT (-73.9576947 40.715321),200,11211,0,Brooklyn,60861.0,40470881.6712834,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
78,relation,3677903,40.8727818,-73.916126,,,,POINT (-73.91612600000001 40.8727818),21,10034,0,New York,39149.0,24503892.1220115,NY,New York,36,061,http://www.usps.com/,0.0,0.0
81,relation,8610205,40.6825657,-73.9753452,Brooklyn,,Barclays Center,POINT (-73.97534520000001 40.6825657),116,11217,0,Brooklyn,36615.0,21648157.7960373,NY,Kings,36,047,http://www.usps.com/,0.0,0.0
